puuid,platform,match_routing
hqre8OUWfIXlx094hOC93HOL6Ot1wa-ukZOr7ONJDUDAD7hpxCPC11TH5FDJoXGU_zkmlceHAiTt8Q,vn2,sea
b8dqPWbQPhMu-nLHVHfY4tu1X6TDp2ZuI33xiTEfrzzGXcwj_iS-T3z6Z31AwJuNAqWGGxBgv-B5-g,kr,asia
Q6x-xpDs_NnUwW7JxPBegfNFEDYmeadOgF2B5uyM9L9VlakqyegG20LVMN8yLJurag6gpBUVRBCXew,vn2,sea
Reu23nq1mW8Fj0RdkyTXYsL1sbEr9rs5ryk2eKhi_422iTCVRq5UmCeqmztJ350FBf-H2PCNt_VlJA,na1,americas
QdyirE64yHoPCVz-ofA3T7cHetM5406_DhjPtETH1u4qjGWweJTwj31H9Dm0mtB94erybTsfgKe-qw,kr,asia
TbT8tx6nABpD5o-eI7rvzjOkYOrpDZvH6P0n2oDElbd2mGIa-DRpulrgSdL75e5gie5axZmH8ABU7g,na1,americas
0bLUk0voaD7iuDXVvEyG5ZHcbopwbYIT2dWBs65qQYe_SjFp1T_uVvWPnEIZVxnGDwTm_GfZ23tYzQ,na1,americas
9PhkwL-L-wK4TMI8mJzSs9Mg23gOt1CyTJXKDjXOF3w9Sb38nEq64rsOhaytryySyoC3H1JqQRMXZA,na1,americas
CqxpGYAB2MoUgKMw5m15lU2B5YxQUj6Eg_9OGg0E1QE1vZCYAAbI5bk2Cq3bhRtzv4gnBZdwmL0NlQ,vn2,sea
7-oYQcDeAGeGk5Ub_jCBbn7on7wEZ1FAelNtt8fJ6aRSeRX1Z3AWFzFqyiwPZDT3fI_Jh9nly2zNvw,euw1,europe
xBkzKFihbcXBpi4jocwGhoo_qLOZ0_fPYt3J6C0MnqQ-XiWKMN0pwLPLOtdPVWkvim--oPrvytvVTg,euw1,europe
HQfruhPVK9Kofo2jhsg1_zQHRjqhEEEKxl1kB8DgmjPqpiyaRgpe8rPicQttav4GuM7h50Ku8osaTA,na1,americas
6R6bNHG7sj6ruoggs0IgXRNeuixorff0YW1X3jgdqaZwEWKOXFXc9qCc21o_o_14wAxYGdO-R9XzEg,vn2,sea
H78FvbZ_kRmiYlIJncgZFIiq8e-OSbPPdEg7JH3yYC9EOxEUVUTKJO1rlT306II9PF-mqGcRtzOPbQ,kr,asia
ZPFS4nUpgvQllOo8wO9Lis7NlCzJybjUteEfmqxoDeZKiYksxXe_cJW_jJGOQ2gGmSNKKnszWHzlFA,kr,asia
KOwpK1msxoT4QffbotdHtkIqxbPN_qB47EBpmjU29yGAZj_Ct5LFQrZr-h1tNHqhKM0KRKllAdcBig,na1,americas
Tywpj7FRQcUqftvm1xJe-d9NktY5xIF3g99e2Yh017mX1vqydrdQEjMjEe6JRz8HoLRquJ0YH9DfUA,kr,asia
6BbsRBbmAcoKIPtaDuWoWWVk9hdrWaXLtJG0afgebRSLzSym62xXdNkinQ-XIx6z6ifR97imqsmx6A,vn2,sea
QzwF9UNS5GSxBwUb_JX55JmDaztRjQZVWv1IYVLyaITQfBbJ9bfocIwdIT5UXAUWz4Q1GMU_YGJMFg,na1,americas
8bFhucZh3bj53C-qZuToTOFVhKMZT9MzZz0wYVAvm3pSCtfXjYuzcmqG571gId0EOkBCLm-m7oPbsw,euw1,europe
w8qNCaQroj-QcqIGxss0zsL-ERKWnExYdzLBb_6UHowVPhCYsHwb9ElqqFIQqbjrzOmDTMssOS7wGQ,kr,asia
